mono,mono_index,date_index,tech_index,fruit_index,date,open,payoff_i,tech,timestep,forg_bout,dates.julian,RCI,s1,s2,s3,s4,s5,s6,s7,ps1,ps2,ps3,ps4,ps5,ps6,ps7,ks1,ks2,ks3,ks4,ks5,ks6,ks7,prs1,prs2,prs3,prs4,prs5,prs6,prs7,Yobs1,Yobs2,Yobs3,Yobs4,Yobs5,Yobs6,Yobs7,cos1,cos2,cos3,cos4,cos5,cos6,cos7,Moms1,Moms2,Moms3,Moms4,Moms5,Moms6,Moms7,y1,y2,y3,y4,y5,y6,y7,yob,age,age.c
BW,1,12,2,65,1/5/14,0,0,BITE AND POP,65,1,357,"LD,DV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,6,-2.826086957
BW,1,15,4,100,1/8/14,0,0,CHEW HOLE,100,2,360,,1,1,0,0,0,0,2,0,0.303413076,0,0,0,0,0.185822196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0,0,0,0,3,0.05,0.013888889,0,0,0,0,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,6,-2.826086957
BW,1,16,7,102,1/9/14,0,0,SEAM STRIP,102,3,361,,1,1,0,0,0,0,2,0,0.303413076,0,0,0,0,0.185822196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0,0,0,0,3,0.05,0.013888889,0,0,0,0,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,6,-2.826086957
BW,1,16,7,103,1/9/14,0,0,SEAM STRIP,103,4,361,,1,1,0,0,0,0,2,0,0.303413076,0,0,0,0,0.185822196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0,0,0,0,3,0.05,0.013888889,0,0,0,0,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,6,-2.826086957
BW,1,16,4,112,1/9/14,1,0.176370547,CHEW HOLE,112,5,361,"LD,RZ",2,1,0,0,0,0,2,0,0.303413076,0,0,0,0,0.185822196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,1.2,0,0,0,0,2.4,0.073333333,0.011111111,0,0,0,0,0.106666667,0,0,0,0,0,0,0,0,0,0,0.176370547,0,0,0,2009,6,-2.826086957
BW,1,17,4,119,1/10/14,1,0.183596148,CHEW HOLE,119,6,362,,2,1,0,1,0,0,2,0,0.303413076,0,0,0,0,0.185822196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2,0.061111111,0.009259259,0,0.055555556,0,0,0.088888889,0,0,0,0,0,0,0,0,0,0,0.183596148,0,0,0,2009,6,-2.826086957
BW,1,17,4,120,1/10/14,1,0.167902503,CHEW HOLE,120,7,362,LD,2,1,0,1,0,0,2,0,0.303413076,0,0,0,0,0.185822196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2,0.061111111,0.009259259,0,0.055555556,0,0,0.088888889,0,0,0,0,0,0,0,0,0,0,0.167902503,0,0,0,2009,6,-2.826086957
BW,1,18,2,123,1/11/14,0,0,BITE AND POP,123,8,363,,2,1,0,1,0,0,2,0,0.303413076,0,0,0,0,0.185822196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2,0.061111111,0.009259259,0,0.055555556,0,0,0.088888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,6,-2.826086957
BW,1,20,4,166,1/13/14,1,0.175220024,CHEW HOLE,166,9,365,IE,2,1,0,1,0,0,2,0,0.303413076,0,0,0,0,0.185822196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2,0.061111111,0.009259259,0,0.055555556,0,0,0.088888889,0,0,0,0,0,0,0,0,0,0,0.175220024,0,0,0,2009,6,-2.826086957
BW,1,28,7,346,1/21/14,0,0,SEAM STRIP,346,10,373,RZ,2,1,2,1,0,0,1,0,0.303413076,0.201538083,0,0,0,0.161277078,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,1.714285714,0.857142857,1.714285714,0.857142857,0,0,0.857142857,0.052380952,0.007936508,0.057823129,0.047619048,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,6,-2.826086957
BW,1,28,7,347,1/21/14,0,0,SEAM STRIP,347,11,373,,2,1,2,1,0,0,1,0,0.303413076,0.201538083,0,0,0,0.161277078,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,1.714285714,0.857142857,1.714285714,0.857142857,0,0,0.857142857,0.052380952,0.007936508,0.057823129,0.047619048,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,6,-2.826086957
BW,1,32,4,450,1/25/14,1,0.194935623,CHEW HOLE,450,12,377,LD,1,0,3,0,0,0,0,0.211139801,0,0.225344862,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1.5,0,4.5,0,0,0,0,0.013888889,0,0.115079365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194935623,0,0,0,2009,6,-2.826086957
BW,1,38,4,610,2/7/14,1,0.205119903,CHEW HOLE,610,13,390,,2,1,3,0,0,0,0,0.179567977,0.294014104,0.243542436,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,2,1,3,0,0,0,0,0.064814815,0.027777778,0.036315536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205119903,0,0,0,2009,6,-2.826086957
BW,1,41,7,639,2/10/14,1,0.234594206,SEAM STRIP,639,14,393,IE,1,1,2,0,0,0,0,0.147996153,0.294014104,0.228834444,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1.5,1.5,3,0,0,0,0,0.083333333,0.041666667,0.040584416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234594206,2009,6,-2.826086957
BW,1,41,3,640,2/10/14,1,0.187184095,CANINE SEAM,640,15,393,,1,1,2,0,0,0,0,0.147996153,0.294014104,0.228834444,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1.5,1.5,3,0,0,0,0,0.083333333,0.041666667,0.040584416,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187184095,0,0,0,0,2009,6,-2.826086957
BW,1,41,3,652,2/10/14,1,0.279055313,CANINE SEAM,652,16,393,,2,1,2,0,0,0,0,0.170489949,0.294014104,0.228834444,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,2.4,1.2,2.4,0,0,0,0,0.133333333,0.033333333,0.032467532,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279055313,0,0,0,0,2009,6,-2.826086957
BW,1,44,4,694,2/13/14,1,0.236177337,CHEW HOLE,694,17,396,,3,1,2,0,0,0,0,0.207415438,0.294014104,0.228834444,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,3,1,2,0,0,0,0,0.166666667,0.027777778,0.027056277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236177337,0,0,0,2009,6,-2.826086957
BW,1,45,4,742,2/14/14,1,0.174916067,CHEW HOLE,742,18,397,GW,3,1,2,0,0,0,0,0.207415438,0.294014104,0.228834444,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,3,1,2,0,0,0,0,0.166666667,0.027777778,0.027056277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174916067,0,0,0,2009,6,-2.826086957
BW,1,45,2,743,2/14/14,1,0.20038343,BITE AND POP,743,19,397,EH,3,1,2,0,0,0,0,0.207415438,0.294014104,0.228834444,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,3,1,2,0,0,0,0,0.166666667,0.027777778,0.027056277,0,0,0,0,0,0,0,0,0,0,0,0,0.20038343,0,0,0,0,0,2009,6,-2.826086957
BW,1,53,2,863,12/29/14,0,0,BITE AND POP,863,20,715,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,6,-2.826086957
BW,1,53,4,864,12/29/14,1,0.154102083,CHEW HOLE,864,21,715,EH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154102083,0,0,0,2009,6,-2.826086957
BW,1,56,4,909,1/10/15,1,0.152415078,CHEW HOLE,909,22,727,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152415078,0,0,0,2009,6,-2.826086957
BW,1,61,7,1013,1/21/15,0,0,SEAM STRIP,1013,23,738,EH,0,1,0,0,0,0,0,0,0.31465798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,6,-2.826086957
BW,1,62,4,1031,1/22/15,0,0,CHEW HOLE,1031,24,739,EV,0,1,0,0,0,0,0,0,0.31465798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,6,-2.826086957
BW,1,64,4,1074,1/24/15,0,0,CHEW HOLE,1074,25,741,RK,0,1,2,1,0,0,0,0,0.31465798,0.214270314,0.176586081,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,1.5,3,1.5,0,0,0,0,0.013888889,0.05952381,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,6,-2.826086957
BW,1,64,4,1075,1/24/15,0,0,CHEW HOLE,1075,26,741,,0,1,2,1,0,0,0,0,0.31465798,0.214270314,0.176586081,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,1.5,3,1.5,0,0,0,0,0.013888889,0.05952381,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,6,-2.826086957
BW,1,68,7,1155,2/8/15,1,0.213577952,SEAM STRIP,1155,27,756,,0,0,1,0,0,0,1,0,0,0.172621725,0,0,0,0.164850343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0.045454546,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213577952,2009,6,-2.826086957
BW,1,68,4,1156,2/8/15,1,0.198277951,CHEW HOLE,1156,28,756,,0,0,1,0,0,0,1,0,0,0.172621725,0,0,0,0.164850343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0.045454546,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0.198277951,0,0,0,2009,6,-2.826086957
BW,1,69,2,1198,2/9/15,0,0,BITE AND POP,1198,29,757,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,6,-2.826086957
BW,1,69,2,1199,2/9/15,0,0,BITE AND POP,1199,30,757,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,6,-2.826086957
BW,1,71,1,1268,2/11/15,0,0,BACK ATTACK,1268,31,759,,0,1,0,0,0,0,0,0,0.271085031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,6,-2.826086957
